id,Type,Title,Country,Data Added,Release Year,Rating,Genre
217,Movie,A Witches' Ball,Canada,10/1/2018,2017.0,PG,Children & Family Movies
218,Movie,Christmas With A View,Canada,11/1/2018,2018.0,TV-PG,"International Movies, Romantic Movies"
219,Movie,Christmas Wedding Planner,Canada,11/15/2018,2017.0,PG,"Comedies, International Movies, Romantic Movies"
220,Movie,Lifechanger,Canada,5/28/2019,2018.0,TV-MA,"Horror Movies, Independent Movies, Thrillers"
221,Movie,Ghost Patrol,Canada,10/1/2017,2016.0,TV-Y7-FV,"Children & Family Movies, Comedies"
222,Movie,Hunt to Kill,Canada,1/1/2020,2010.0,R,Action & Adventure
223,Movie,48 Christmas Wishes,Canada,12/20/2017,2017.0,TV-Y7,"Children & Family Movies, Comedies"
224,Movie,Room for Rent,Canada,3/1/2019,2017.0,TV-MA,"Comedies, Independent Movies"
225,Movie,The Accountant of Auschwitz,Canada,7/1/2019,2018.0,TV-14,"Documentaries, International Movies"
226,Movie,The Heat: A Kitchen (R)evolution,Canada,5/7/2019,2018.0,TV-MA,Documentaries
227,Movie,Transformer,Canada,2/20/2019,2017.0,TV-MA,"Documentaries, LGBTQ Movies"
228,Movie,Recall,Canada,6/25/2019,2018.0,TV-MA,Dramas
229,Movie,#Roxy,Canada,4/10/2019,2018.0,TV-14,"Comedies, Romantic Movies"
230,Movie,Sadie's Last Days on Earth,Canada,8/22/2017,2016.0,TV-14,"Comedies, Sci-Fi & Fantasy"
231,Movie,Trailer Park Boys: Say Goodnight to the Bad Guys,Canada,3/1/2018,2008.0,TV-MA,"Comedies, Cult Movies"
232,Movie,Trailer Park Boys: Xmas Special,Canada,3/1/2018,2004.0,TV-MA,Movies
233,Movie,Trailer Park Boys: Countdown to Liquor Day,Canada,3/30/2018,2009.0,R,"Comedies, Cult Movies"
234,Movie,Trailer Park Boys: The Movie,Canada,3/30/2018,2006.0,R,"Comedies, Cult Movies"
235,Movie,One Last Shot,Canada,8/24/2018,1998.0,TV-MA,Comedies
236,Movie,Swearnet Live,Canada,3/1/2018,2014.0,TV-MA,"Comedies, International Movies"
237,Movie,Trailer Park Boys Live at the North Pole,Canada,3/1/2018,2014.0,NR,Movies
238,Movie,Trailer Park Boys Live In F**kin' Dublin,Canada,3/1/2018,2014.0,NR,Movies
239,Movie,Meditation Park,Canada,3/9/2018,2017.0,TV-PG,Dramas
240,Movie,Mean Dreams,Canada,7/1/2019,2016.0,R,"Dramas, Independent Movies, Thrillers"
241,Movie,My Ex-Ex,Canada,8/15/2017,2015.0,TV-MA,"Comedies, Romantic Movies"
242,TV Show,Trailer Park Boys: The Animated Series,Canada,3/31/2019,2019.0,TV-MA,TV Comedies
243,Movie,Into the Forest,Canada,11/7/2018,2015.0,R,"Dramas, International Movies, Sci-Fi & Fantasy"
244,Movie,Theater of Life,Canada,7/18/2017,2016.0,TV-PG,Documentaries
245,Movie,Paper Year,Canada,4/20/2019,2018.0,TV-MA,"Dramas, Independent Movies, Romantic Movies"
246,Movie,The Humanity Bureau,Canada,12/18/2018,2017.0,R,"Action & Adventure, Sci-Fi & Fantasy"
247,Movie,Pup Star: Better 2Gether,Canada,10/28/2017,2017.0,PG,"Children & Family Movies, Comedies"
